entity,state,type,affected,date,incident,location,business_associate
Robbins Eye Center PC,CT,Healthcare Provider,1749,11/28/12,Theft,Desktop Computer,No
State of Tennessee Sponsored Group Health Plan,TN,Health Plan,1770,11/28/11,Unauthorized Access/Disclosure,Paper/Films,No
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",VA,Healthcare Provider,15575,11/27/19,Hacking/IT Incident,Email,No
Nebraska Medicine,NE,Healthcare Provider,1149,11/27/19,Unauthorized Access/Disclosure,Electronic Medical Record,No
"AccuDoc Solutions, Inc.",NC,Business Associate,2652537,11/27/18,Hacking/IT Incident,Network Server,Yes
University of Alabama at Birmingham,AL,Healthcare Provider,652,11/27/17,Loss,Other Portable Electronic Device,No
"Pulmonary Specialists of Louisville, PSC",KY,Healthcare Provider,32000,11/27/17,Hacking/IT Incident,Electronic Medical Record,No
"UW Medicine, Privacy Manager - Breach",WA,Healthcare Provider,76183,11/27/13,Hacking/IT Incident,Desktop Computer,No
UPMC,PA,Healthcare Provider,1279,11/27/13,Unauthorized Access/Disclosure,Electronic Medical Record,No
"James M. McGee, D.M.D., P.C.",GA,Healthcare Provider,1306,11/27/12,Theft,Paper/Films,No
WyndRidge Health and Rehabilitation Center,TN,Healthcare Provider,1958,11/26/21,Hacking/IT Incident,Network Server,No
Brazos Valley Plastic Surgery,TX,Healthcare Provider,2255,11/26/20,Unauthorized Access/Disclosure,Email,No
"Ivy Rehab Network, Inc. and its affiliated companies",NY,Healthcare Provider,125000,11/26/19,Hacking/IT Incident,Email,No
Cancer Treatment Centers of America (CTCA) at Western Regional Medical Center,AZ,Healthcare Provider,41948,11/26/18,Hacking/IT Incident,Email,No
Baylor Scott & White Medical Center - Frisco,TX,Healthcare Provider,47984,11/26/18,Hacking/IT Incident,Network Server,Yes
Mercy Medical Center- North Iowa,IA,Healthcare Provider,1971,11/26/18,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Computer Programs and Systems, Inc.",AL,Business Associate,25764,11/26/14,Theft,Network Server,Yes
Ronald Schubert MD PLLC,WA,Healthcare Provider,950,11/26/13,Theft,Laptop,No
Jones Chiropractic and Maximum Health,IN,Healthcare Provider,1500,11/26/13,Theft,Desktop Computer,No
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,11/26/13,Unauthorized Access/Disclosure,Other,No
"Advantage Health Solutions, Inc.",IN,Business Associate,2575,11/26/12,Other,Other,Yes
Brigham and Women's Hospital,MA,Healthcare Provider,615,11/26/12,Theft,Desktop Computer,No
Tufts Health Plan,MA,Health Plan,60545,11/25/20,Hacking/IT Incident,Email,Yes
US Fertility LLC,MD,Business Associate,878550,11/25/20,Hacking/IT Incident,Email,Yes
"Illinois Gastroenterology Group, LLC",IL,Healthcare Provider,1481,11/25/19,Hacking/IT Incident,Email,No
Penn-Mar Human Services,MD,Healthcare Provider,536,11/25/19,Hacking/IT Incident,Email,No
Upper Peninsula Health Plan,MI,Health Plan,812,11/25/19,Hacking/IT Incident,Email,Yes
"New Dimension Group, LLC",NC,Healthcare Provider,1275,11/25/15,Loss,Other Portable Electronic Device,No
Northfield Hospital & Clinics,MN,Healthcare Provider,1778,11/25/14,Improper Disposal,Paper/Films,No
AdminisTEP,TX,Business Associate,4469,11/25/14,Unauthorized Access/Disclosure,Paper/Films,Yes
Memorial Hospital of Gardena,CA,Healthcare Provider,771,11/25/10,Unauthorized Access/Disclosure,Paper/Films,No
"Cogent Healthcare, Inc.",TN,Business Associate,6400,11/25/09,Theft,Laptop,Yes
"Quantum Imaging and Therapeutics Associates, Inc.",PA,Healthcare Provider,394506,11/24/21,Hacking/IT Incident,Network Server,No
Boston Medical Center,MA,Healthcare Provider,723,11/24/21,Unauthorized Access/Disclosure,Email,No
Bardstown Primary Care dba: Physicians to Children & Adolescents,KY,Healthcare Provider,859,11/24/20,Unauthorized Access/Disclosure,Other,Yes
Hillcrest Nursing Center,IL,Healthcare Provider,1030,11/24/20,Unauthorized Access/Disclosure,Electronic Medical Record,No
Pathways Professional Counseling,AL,Healthcare Provider,986,11/24/15,Theft,Laptop,No
"Professional Transcription Company, Inc.",NY,Business Associate,1744,11/24/10,Theft,Network Server,Yes
The Children's Hospital of Philadelphia,PA,Healthcare Provider,943,11/24/09,Theft,Laptop,No
Presbyterian Health Plan,NM,Business Associate,3557,11/23/20,Unauthorized Access/Disclosure,Paper/Films,Yes
The Tree House Child Advocacy Center of Montgomery County,MD,Business Associate,514,11/23/20,Unauthorized Access/Disclosure,Network Server,Yes
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,1462,11/23/20,Hacking/IT Incident,Email,No
One Touch Point,WI,Business Associate,500,11/23/20,Unauthorized Access/Disclosure,Paper/Films,Yes
Interim HealthCare of the Capital Region,NY,Healthcare Provider,1127,11/23/20,Hacking/IT Incident,Email,No
"Bilingual Psychological Associates, PC",TX,Healthcare Provider,1925,11/23/20,Unauthorized Access/Disclosure,Network Server,No
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities",NE,Healthcare Provider,216472,11/23/20,Hacking/IT Incident,Network Server,No
New Mexico Heart Institute,NM,Healthcare Provider,4185,11/23/16,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Akron General Medical Center,OH,Healthcare Provider,730,11/23/16,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Berkshire Medical Center,MA,Healthcare Provider,1745,11/23/16,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Cigna Home Delivery Pharmacy,CT,Healthcare Provider,592,11/23/15,Unauthorized Access/Disclosure,Paper/Films,No
University of Kentucky UK HealthCare,KY,Healthcare Provider,878,11/23/11,Loss,Other Portable Electronic Device,No
City of Hope National Medical Center,CA,Healthcare Provider,5900,11/23/09,Theft,Laptop,No
Washington County School District,UT,Business Associate,659,11/22/21,Hacking/IT Incident,Network Server,Yes
"La Clinica de La Raza, Inc.",CA,Healthcare Provider,2477,11/22/19,Theft,Other Portable Electronic Device,No
Elizabeth Family Health,CO,Healthcare Provider,28375,11/22/19,Theft,Paper/Films,No
"GeneDx, Inc.",NJ,Healthcare Provider,851,11/22/19,Hacking/IT Incident,Network Server,Yes
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000,11/22/19,Hacking/IT Incident,Network Server,No
Sutter Valley Medical Foundation d/b/a Sutter Medical Foundation,CA,Healthcare Provider,1303,11/22/17,Theft,Paper/Films,No
"LCS Westminster Partnership IV, LLP d/b/a Sagewood",AZ,Healthcare Provider,863,11/22/16,Hacking/IT Incident,Network Server,No
Emblem Health - GHI,NY,Health Plan,81122,11/22/16,Unauthorized Access/Disclosure,Other,No
United Health Group Single Affiliated Covered Entity,MN,Health Plan,1408,11/22/16,Hacking/IT Incident,Network Server,No
"Stony Brook Internists, University Faculty Practice Corporation (UFPC)",NY,Healthcare Provider,1878,11/22/16,Theft,Other Portable Electronic Device,Yes
Kaiser Foundation Hospital- Orange County,CA,Healthcare Provider,49000,11/22/13,Loss,Other Portable Electronic Device,No
New Jersey Department of Human Services,NJ,Health Plan,9825,11/22/13,Loss,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,8294,11/22/13,Theft,Paper/Films,No
Sitka Wellness Center,AK,Healthcare Provider,566,11/22/11,Unauthorized Access/Disclosure,Electronic Medical Record,No
"OmniSeq, Inc.",NY,Healthcare Provider,3977,11/21/19,Hacking/IT Incident,Email,No
"Ronald E. Rosenbaum DMD, PA",FL,Healthcare Provider,1522,11/21/19,Hacking/IT Incident,Paper/Films,No
VA St. Louis Health Care System,MO,Healthcare Provider,595,11/21/19,Unauthorized Access/Disclosure,Paper/Films,No
Tandigm Health,PA,Business Associate,7376,11/21/18,Hacking/IT Incident,Network Server,Yes
Baptist Health Louisville,KY,Healthcare Provider,880,11/21/17,Hacking/IT Incident,Email,No
Humana Inc,KY,Health Plan,5764,11/21/17,Unauthorized Access/Disclosure,Network Server,Yes
"Camas Center Clinic, Kalispel Tribe of Indians",WA,Healthcare Provider,504,11/21/16,Unauthorized Access/Disclosure,Paper/Films,No
"North Texas Heart Center, P.A.",TX,Healthcare Provider,4210,11/21/16,Theft,Other Portable Electronic Device,No
True Vision Eyecare,OH,Healthcare Provider,542,11/21/14,Theft,Laptop,No
Visionworks Inc.,TX,Health Plan,47683,11/21/14,Theft,Network Server,No
Digital Archive Management,TX,Business Associate,501,11/21/12,Theft,Paper/Films,Yes
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540,11/21/12,Theft,Laptop,No
"Soundental Associates, PC",CT,Healthcare Provider,14511,11/21/12,Theft,Other Portable Electronic Device,No
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540,11/21/12,Theft,Laptop,No
Indian Health Council Inc.,CA,Healthcare Provider,5769,11/20/20,Hacking/IT Incident,Network Server,No
"Harvard Pilgrim Health Care, Inc.",MA,Business Associate,8027,11/20/20,Unauthorized Access/Disclosure,Paper/Films,Yes
Louisiana State University- Health Care Services Division,LA,Healthcare Provider,58005,11/20/20,Hacking/IT Incident,Email,No
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,78006,11/20/20,Hacking/IT Incident,Network Server,Yes
Planned Parenthood of Metro Washington,DC,Healthcare Provider,142982,11/20/20,Hacking/IT Incident,Network Server,No
Herron Business Law,PA,Business Associate,1419,11/20/20,Unauthorized Access/Disclosure,Paper/Films,Yes
Legacy Community Health Services,TX,Healthcare Provider,3076,11/20/20,Hacking/IT Incident,Email,No
Golden Gate Regional Center,CA,Business Associate,11315,11/20/20,Hacking/IT Incident,Network Server,Yes
Walmart Inc.,AR,Healthcare Provider,524,11/20/20,Theft,Paper/Films,No
"Hi-Tech Artificial Limbs, Inc.",KY,Healthcare Provider,529,11/20/20,Loss,Other,No
Saint Francis Medical Center,MO,Healthcare Provider,107054,11/20/19,Hacking/IT Incident,Network Server,No
"East End Disability Associates, Inc.",NY,Healthcare Provider,896,11/20/18,Hacking/IT Incident,Email,No
"Baptist Primary Care, Inc.",FL,Healthcare Provider,1449,11/20/14,Unauthorized Access/Disclosure,Electronic Medical Record,No
"MetroPlus Health Plan, Inc.",NY,Health Plan,31980,11/20/14,Other,Email,No
"Hawaii State Department of Health, Adult Mental Health Division",HI,Healthcare Provider,674,11/20/12,Hacking/IT Incident,Desktop Computer,No
"L. Douglas Carlson, M.D.",CA,Healthcare Provider,5257,11/20/09,Theft,Desktop Computer,No
"Joseph F. Lopez, MD",CA,Healthcare Provider,952,11/20/09,Theft,Desktop Computer,No
"David I. Cohen, MD",CA,Healthcare Provider,857,11/20/09,Theft,Desktop Computer,No
"Michele Del Vicario, MD",CA,Healthcare Provider,6145,11/20/09,Theft,Desktop Computer,No
"Mark D. Lurie, MD",CA,Healthcare Provider,5166,11/20/09,Theft,Desktop Computer,No
"Onondaga County Chapter NYSARC, Inc.",NY,Healthcare Provider,5425,11/19/21,Hacking/IT Incident,Network Server,No
"Colorado Allergy and Asthma Centers, PC",CO,Healthcare Provider,791,11/19/21,Hacking/IT Incident,Email,No
Saltzer Health,ID,Healthcare Provider,15650,11/19/21,Hacking/IT Incident,Email,No
Sentara Healthcare,VA,Healthcare Provider,72121,11/19/21,Hacking/IT Incident,Network Server,Yes
"AspenPointe, Inc.",CO,Healthcare Provider,295617,11/19/20,Hacking/IT Incident,Network Server,No
"Jonathan Woolfson, MD, PC",GA,Healthcare Provider,1693,11/19/20,Theft,Laptop,No
Episcopal Health Services,NY,Healthcare Provider,218055,11/19/18,Hacking/IT Incident,Email,No
Inova Health System,VA,Business Associate,1265,11/19/18,Hacking/IT Incident,Electronic Medical Record,Yes
"James R. Etzkorn, MD",MO,Healthcare Provider,6845,11/19/18,Unauthorized Access/Disclosure,Paper/Films,No
"Alaska Orthopedic Specialists, Inc.",AK,Healthcare Provider,553,11/19/15,Theft,Email,No
Kirkbride Center,PA,Healthcare Provider,860,11/19/14,Theft,Paper/Films,No
Redwood Memorial Hospital,CA,Healthcare Provider,1039,11/19/13,Loss,Other Portable Electronic Device,No
"Paragon Health, P.C.",MI,Healthcare Provider,685,11/18/20,Hacking/IT Incident,Email,No
"Human Services, Inc.",PA,Healthcare Provider,1559,11/18/19,Hacking/IT Incident,Email,No
"Medical Park Family Care, Inc.",AK,Healthcare Provider,500,11/18/19,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
OptumHealth New Mexico,MN,Health Plan,2006,11/18/16,Loss,Other Portable Electronic Device,No
Pinellas County Board of County Commissioners,FL,Health Plan,2800,11/18/16,Unauthorized Access/Disclosure,Email,No
Washington National Insurance Company,IN,Health Plan,1458,11/18/16,Theft,Paper/Films,Yes
Peachtree Orthopaedic Clinic,GA,Healthcare Provider,531000,11/18/16,Hacking/IT Incident,Network Server,No
"United Dynacare, LLC dba Dynacare Laboratories",WI,Healthcare Provider,9328,11/18/13,Theft,Other Portable Electronic Device,No
"Triple-S Salud, Inc.",PR,Health Plan,398000,11/18/10,Theft,Network Server,No
Austin Perio Health,TX,Healthcare Provider,4339,11/17/21,Hacking/IT Incident,Email,No
"HealthEquity, Inc.",UT,Business Associate,165800,11/17/18,Hacking/IT Incident,Email,Yes
Dallas County Mental Health Mental Retardation Center dba Metrocare Services,TX,Healthcare Provider,120259,11/17/17,Hacking/IT Incident,Email,No
Clinical Pathology Laboratories Southeast,FL,Healthcare Provider,500,11/17/17,Theft,Laptop,No
"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,9500,11/17/17,Hacking/IT Incident,Email,No
"Luque Chiropractic, Inc.",CA,Healthcare Provider,1341,11/17/16,Unauthorized Access/Disclosure,Network Server,Yes
"Watsonville Chiropractic, Inc.",CA,Healthcare Provider,829,11/17/16,Unauthorized Access/Disclosure,Network Server,Yes
Brigham and Women's Hospital,MA,Healthcare Provider,999,11/17/14,Theft,Other Portable Electronic Device,No
L.A. Care Health Plan,CA,Health Plan,18000,11/17/12,Other,Other,No
Dallas County Hospital District dba Parkland Health & Hospital System,TX,Healthcare Provider,2464,11/17/11,Unauthorized Access/Disclosure,Paper/Films,No
Medcenter One,ND,Healthcare Provider,650,11/17/11,Theft,Laptop,No
Sutter Medical Foundation,AL,Healthcare Provider,943434,11/17/11,Theft,Desktop Computer,No
"Health Services for Children with Special Needs, Inc.",DC,Health Plan,3800,11/17/09,Loss,Laptop,No
"Texas VSI, LLC",TX,Business Associate,500,11/16/18,Hacking/IT Incident,Network Server,Yes
"New York Oncology Hematology, P.C.",NY,Healthcare Provider,128400,11/16/18,Hacking/IT Incident,Email,No
Center for Vitreo-Retinal Diseases,IL,Healthcare Provider,20371,11/16/18,Hacking/IT Incident,Network Server,No
"Georgia Spine & Orthopaedics of Atlanta, LLC",GA,Healthcare Provider,7012,11/16/18,Hacking/IT Incident,Email,No
Rocky Mountain Health Care Services,CO,Healthcare Provider,909,11/16/17,Theft,Laptop,No
Washington State Department of Social and Health Services,WA,Healthcare Provider,515,11/16/17,Unauthorized Access/Disclosure,Email,No
The Biomechanics LLC,AZ,Healthcare Provider,1049,11/16/16,Hacking/IT Incident,Other,Yes
"Vision Care Florida, LLC",FL,Healthcare Provider,7500,11/16/16,Unauthorized Access/Disclosure,Desktop Computer,No
CHRISTUS St. John Hospital,TX,Healthcare Provider,5748,11/16/12,Loss,Other Portable Electronic Device,No
Holy Cross Hospital,FL,Healthcare Provider,1500,11/16/10,Theft,Paper/Films,No
Citizens Financial Corporation,KY,Business Associate,688,11/15/21,Unauthorized Access/Disclosure,Other,Yes
Choice Cancer Care,TX,Healthcare Provider,14673,11/15/19,Hacking/IT Incident,Email,No
UPMC Susquehanna,PA,Healthcare Provider,1208,11/15/17,Hacking/IT Incident,Email,No
REEVE-WOODS EYE CENTER,CA,Healthcare Provider,30000,11/15/14,Theft,Network Server,No
UHS-Pruitt Corporation,GA,Healthcare Provider,1300,11/15/13,Theft,Laptop,No
"Robert Wheatley, DDS, PC",MO,Healthcare Provider,1400,11/15/10,Theft,Laptop,No
Henry Ford Hospital,MI,Healthcare Provider,3700,11/15/10,Theft,Laptop,No
Ascension Borgess Hospital,MI,Healthcare Provider,996,11/14/19,Unauthorized Access/Disclosure,Email,No
Gateway Health Plan LP,PA,Health Plan,753,11/14/19,Hacking/IT Incident,Email,Yes
"Sports Medicine & Rehabilitation Therapy, Inc.",MA,Healthcare Provider,8800,11/14/17,Hacking/IT Incident,Network Server,No
"Lebanon Cardiology Associates, PC",PA,Healthcare Provider,537,11/14/16,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
"UC Health, LLC",OH,Healthcare Provider,1064,11/14/15,Unauthorized Access/Disclosure,Email,No
Colorado River Indian Tribes,AZ,Healthcare Provider,1296,11/14/14,Other,Email,No
Iron Mountain,CA,Business Associate,2691,11/14/14,Theft,Paper/Films,Yes
Loi Luu,CA,Healthcare Provider,13177,11/14/14,Theft,Network Server,No
Health Fitness Corporation,IL,Business Associate,4837,11/14/13,Theft,Laptop,Yes
Health Fitness Corporation,IL,Business Associate,3804,11/14/13,Theft,Laptop,Yes
"Mid Continent Credit Services, Inc.",KS,Business Associate,8275,11/14/11,Theft,Other,Yes
University Hopsital,NJ,Healthcare Provider,39207,11/13/20,Hacking/IT Incident,Network Server,No
"Northpoint Recovery Holdings, LLC",ID,Healthcare Provider,1866,11/13/20,Hacking/IT Incident,Email,No
PhySynergy LLC,GA,Healthcare Provider,3667,11/13/20,Hacking/IT Incident,Network Server,Yes
Mercy Iowa City,IA,Healthcare Provider,92795,11/13/20,Hacking/IT Incident,Email,No
"Solara Medical Supplies, LLC",CA,Healthcare Provider,114007,11/13/19,Hacking/IT Incident,Email,No
Select Health Network,IN,Business Associate,3582,11/13/19,Hacking/IT Incident,Email,Yes
San Mateo Medical Center,CA,Healthcare Provider,5000,11/13/18,Unauthorized Access/Disclosure,Other,No
Family & Cosmetic Dentistry of the Rockies,CO,Healthcare Provider,1850,11/13/17,Improper Disposal,Paper/Films,Yes
"Midlands Orthopaedics, P.A.",SC,Healthcare Provider,3902,11/13/15,Hacking/IT Incident,Network Server,Yes
HealthPoint,WA,Healthcare Provider,1300,11/13/15,Theft,Laptop,No
"OH Muhlenberg, LLC",KY,Healthcare Provider,84681,11/13/15,Hacking/IT Incident,Other Portable Electronic Device,No
