Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Brightline, Inc.",CA,Business Associate,7672,04/07/2023,Hacking/IT Incident,Network Server,Yes
Centers for Medicare & Medicaid Services,MD,Health Plan,10011,04/07/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
California Physicians’ Services dba Blue Shield of California,CA,Health Plan,1553,04/05/2023,Hacking/IT Incident,Network Server,Yes
California Physicians' Services d/b/a Blue Shield of California,CA,Business Associate,61788,04/04/2023,Hacking/IT Incident,Network Server,Yes
"WellBe Senior Medical, LLC",IL,Healthcare Provider,19567,03/30/2023,Hacking/IT Incident,Network Server,No
Santa Clara Family Health Plan,CA,Health Plan,276993,03/30/2023,Hacking/IT Incident,Network Server,Yes
Aspire Health Partners,FL,Healthcare Provider,1005,03/29/2023,Improper Disposal,Paper/Films,No
Frideres Dental LLC,OR,Healthcare Provider,1596,03/24/2023,Hacking/IT Incident,Email,No
US Wellness Inc.,MD,Business Associate,15818,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates,NY,Business Associate,3851,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc.,NY,Business Associate,795,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Springfield Dialysis Center,NY,Business Associate,922,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.,NY,Business Associate,2204,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services -  Prospect Park Dialysis Center,NY,Business Associate,563,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.,NY,Business Associate,970,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - New York Renal Associates,NY,Business Associate,1126,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC,NY,Business Associate,1119,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Morrisania Dialysis Center,NY,Business Associate,653,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - East End Dialysis Center LLC,NY,Business Associate,745,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Central Park Dialysis Center,NY,Business Associate,1345,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC,NY,Business Associate,1052,03/22/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Broadway Dialysis Center,NY,Business Associate,776,03/21/2023,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services,NY,Business Associate,3851,03/21/2023,Hacking/IT Incident,Network Server,Yes
"Yardley Dermatology Associates, PC",PA,Healthcare Provider,523,03/21/2023,Unauthorized Access/Disclosure,Email,No
Merritt Healthcare Advisors,CT,Business Associate,88740,03/15/2023,Hacking/IT Incident,Email,Yes
"Ryu Physical Therapy, P.C.",CA,Healthcare Provider,500,03/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Florida Medical Clinic, LLC",FL,Healthcare Provider,94132,03/10/2023,Hacking/IT Incident,Network Server,No
"Wichita Urology Group, PA",KS,Healthcare Provider,1493,03/08/2023,Hacking/IT Incident,Network Server,No
"EPIC Management, LLC",CA,Health Plan,1190,03/08/2023,Hacking/IT Incident,Email,No
The Chautauqua Center Inc.,NY,Healthcare Provider,745,03/06/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
West Virginia University Board of Governors,WV,Healthcare Provider,2453,03/03/2023,Unauthorized Access/Disclosure,Network Server,No
Valera Health,NY,Healthcare Provider,2317,02/28/2023,Unauthorized Access/Disclosure,Email,No
Sentara Healthcare,VA,Healthcare Provider,741,02/24/2023,Unauthorized Access/Disclosure,Network Server,Yes
White Bird Clinic,OR,Healthcare Provider,584,02/23/2023,Unauthorized Access/Disclosure,Email,No
Lawrence General Hospital,MA,Healthcare Provider,76571,02/23/2023,Hacking/IT Incident,Network Server,Yes
Henrico Doctors Hospital,VA,Healthcare Provider,990,02/21/2023,Unauthorized Access/Disclosure,Email,No
Sharp Healthcare,CA,Healthcare Provider,62777,02/17/2023,Hacking/IT Incident,Network Server,No
West Cecil Health Center,MD,Healthcare Provider,1136,02/17/2023,Unauthorized Access/Disclosure,Network Server,Yes
Troy Roeder DDS PC,IL,Healthcare Provider,1127,02/17/2023,Unauthorized Access/Disclosure,Desktop Computer,No
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,02/10/2023,Hacking/IT Incident,Network Server,No
Highmark Inc,PA,Health Plan,239039,02/10/2023,Hacking/IT Incident,Email,No
CVS Specialty,RI,Healthcare Provider,740,02/10/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Skin MD, PLLC",TN,Healthcare Provider,7558,02/06/2023,Improper Disposal,Paper/Films,No
"Center for Autism and Related Disorders, LLC",TX,Healthcare Provider,634,02/04/2023,Unauthorized Access/Disclosure,Paper/Films,No
Hospice of the Valley,AZ,Healthcare Provider,3840,02/03/2023,Hacking/IT Incident,Email,No
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,02/02/2023,Hacking/IT Incident,Network Server,No
The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials,AZ,Healthcare Provider,1277,02/01/2023,Hacking/IT Incident,Network Server,No
"AppleCare, LLC",GA,Healthcare Provider,512,01/23/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
City of Cleveland Health Plan,OH,Health Plan,15206,01/20/2023,Unauthorized Access/Disclosure,Network Server,No
DCH Health System,AL,Healthcare Provider,2530,01/20/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Chico Immediate Care Medical Center, Inc.",CA,Healthcare Provider,3780,01/19/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
Health Plan of San Mateo,CA,Health Plan,4032,01/18/2023,Hacking/IT Incident,Network Server,Yes
"mscripts®, LLC",CA,Business Associate,88923,01/17/2023,Unauthorized Access/Disclosure,Network Server,Yes
"Community Health Network, Inc.",IN,Business Associate,1237,01/13/2023,Unauthorized Access/Disclosure,Network Server,Yes
Rundle Eye Associates,CA,Healthcare Provider,7528,01/12/2023,Hacking/IT Incident,Network Server,No
UCLA Health,CA,Healthcare Provider,94000,01/12/2023,Unauthorized Access/Disclosure,Network Server,No
Minnesota Department of Human Services,MN,Health Plan,4307,01/11/2023,Unauthorized Access/Disclosure,Email,No
1020 South Main Street Operations LLC,PA,Healthcare Provider,702,01/10/2023,Hacking/IT Incident,Network Server,Yes
225 Evergreen Road Operations LLC,PA,Healthcare Provider,931,01/10/2023,Hacking/IT Incident,Network Server,No
Macoby Street Operations LLC d/b/a Pennsburg Manor,PA,Healthcare Provider,1547,01/10/2023,Hacking/IT Incident,Network Server,Yes
"BayCare Clinic, LLP",WI,Healthcare Provider,134000,01/06/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Circles of Care, Inc.",FL,Healthcare Provider,61170,01/03/2023,Hacking/IT Incident,Network Server,No
The Kelberman Center,NY,Healthcare Provider,3501,12/30/2022,Hacking/IT Incident,Email,No
"Verisma Systems, Inc.",VA,Business Associate,1031,12/29/2022,Unauthorized Access/Disclosure,Network Server,Yes
"Verisma Systems, Inc.",VA,Business Associate,1586,12/29/2022,Unauthorized Access/Disclosure,Network Server,Yes
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,12/28/2022,Hacking/IT Incident,Email,No
Aetna ACE,CT,Health Plan,4222,12/27/2022,Hacking/IT Incident,Email,No
Quality Behavioral Health,WA,Healthcare Provider,3498,12/26/2022,Hacking/IT Incident,Network Server,No
"Cedar Cares, Inc. f/k/a Careportal",NY,Business Associate,1205,12/23/2022,Unauthorized Access/Disclosure,Paper/Films,Yes
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,12/22/2022,Hacking/IT Incident,Network Server,No
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,12/20/2022,Unauthorized Access/Disclosure,Paper/Films,No
Three Rivers Provider Network,CA,Business Associate,4725,12/19/2022,Hacking/IT Incident,Email,Yes
MITCON,MI,Business Associate,1131,12/19/2022,Hacking/IT Incident,Network Server,Yes
Hawaiian Eye Center,HI,Healthcare Provider,14524,12/19/2022,Hacking/IT Incident,Network Server,No
Monarch,NC,Healthcare Provider,56155,12/16/2022,Hacking/IT Incident,Network Server,No
The Elizabeth Hospice,CA,Healthcare Provider,35496,12/14/2022,Unauthorized Access/Disclosure,Email,No
Ola Equipment LLC,HI,Business Associate,39000,12/14/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",Yes
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,12/13/2022,Hacking/IT Incident,Laptop,No
KEMET Electronics Corporation,FL,Health Plan,2927,12/09/2022,Hacking/IT Incident,Network Server,No
Hanger Prosthetics and Orthotics,TX,Healthcare Provider,1354,12/09/2022,Hacking/IT Incident,Email,No
San Gorgonio Memorial Hospital,CA,Healthcare Provider,16846,12/08/2022,Hacking/IT Incident,Network Server,No
Emory Healthcare,GA,Healthcare Provider,1891,12/06/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
Easton Cardiovascular Associates,PA,Business Associate,883,11/30/2022,Hacking/IT Incident,Network Server,Yes
"Peter J. Isaac, D.O.",PA,Business Associate,6390,11/30/2022,Hacking/IT Incident,Network Server,Yes
"Dr. Douglas C. Shoenberger, PC",PA,Business Associate,8179,11/30/2022,Hacking/IT Incident,Network Server,Yes
"MaryAnne Freeman Brndjar, DO, PC",PA,Business Associate,2491,11/30/2022,Hacking/IT Incident,Network Server,Yes
Dermatology & Skin Cancer Center,PA,Business Associate,5423,11/30/2022,Hacking/IT Incident,Network Server,Yes
"Ellen M. Field, M.D.",PA,Business Associate,4438,11/30/2022,Hacking/IT Incident,Network Server,Yes
Pendurthi Surgical Associates,PA,Business Associate,7925,11/30/2022,Hacking/IT Incident,Network Server,Yes
"NU House Calls, PC",PA,Business Associate,552,11/30/2022,Hacking/IT Incident,Network Server,Yes
"Lehigh Valley Women's Medical Specialties, P.C.",PA,Business Associate,4535,11/30/2022,Hacking/IT Incident,Network Server,Yes
Klamath County,OR,Healthcare Provider,547,11/29/2022,Unauthorized Access/Disclosure,Email,No
Legacy Health,OR,Healthcare Provider,8065,11/23/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"Nuance Communications, Inc.",MA,Business Associate,4830,11/18/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,11/18/2022,Unauthorized Access/Disclosure,Network Server,No
CareFirst Administrators,MD,Health Plan,14538,11/18/2022,Hacking/IT Incident,Email,Yes
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",CA,Health Plan,8556,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Rosenfeld VanWirt, PC",PA,Business Associate,18719,11/16/2022,Hacking/IT Incident,Network Server,Yes
Arkansas Department of Human Services,AR,Health Plan,925,11/15/2022,Unauthorized Access/Disclosure,Email,No
"CCA Health Plans of California, Inc. f/k/a Vitality Health Plan of California, Inc.",CA,Health Plan,14631,11/15/2022,Hacking/IT Incident,Network Server,No
Yakima Neighborhood Health Services,WA,Healthcare Provider,2689,11/14/2022,Unauthorized Access/Disclosure,Email,No
"Dialpad, Inc.",CA,Business Associate,1392,11/14/2022,Unauthorized Access/Disclosure,Network Server,Yes
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,11/10/2022,Hacking/IT Incident,Network Server,No
Work Health Solutions,CA,Healthcare Provider,13157,11/09/2022,Hacking/IT Incident,Email,No
GATE Petroleum Company Employee Benefits Plan,FL,Health Plan,4912,11/09/2022,Hacking/IT Incident,Network Server,No
CorrHealth Inc.,TX,Business Associate,1245,11/07/2022,Unauthorized Access/Disclosure,Network Server,Yes
Resource Anesthesiology Associates of PA PC,NY,Healthcare Provider,1372,11/07/2022,Hacking/IT Incident,Network Server,No
Resource Anesthesiology Associates of CA PC,CA,Healthcare Provider,1308,11/07/2022,Hacking/IT Incident,Network Server,No
"The Stern Cardiovascular Foundation, Inc.",TN,Healthcare Provider,270645,11/05/2022,Hacking/IT Incident,Network Server,No
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,11/04/2022,Hacking/IT Incident,Email,No
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,10/31/2022,Hacking/IT Incident,Network Server,No
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,10/31/2022,Hacking/IT Incident,Email,No
"PrimeCare Medical, Inc.",PA,Healthcare Provider,22254,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes
"Mediko, Inc.",VA,Healthcare Provider,2809,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes
Mohave County Adult Detention Facility,AZ,Healthcare Provider,558,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes
Navajo County Sheriff's Office,AZ,Healthcare Provider,797,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes
"Restorative Arts Physical Therapy, Inc. d/b/a Core Conditioning",CA,Healthcare Provider,727,10/28/2022,Hacking/IT Incident,Network Server,No
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,2915,10/28/2022,Hacking/IT Incident,Email,No
OakBend Medical Center / OakBend Medical Group,TX,Healthcare Provider,500000,10/28/2022,Hacking/IT Incident,Email,No
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,10/27/2022,Unauthorized Access/Disclosure,Network Server,Yes
"Forest Hill Pediatrics, LLC",MD,Healthcare Provider,4850,10/25/2022,Hacking/IT Incident,Network Server,Yes
Resource Anesthesiology Associates of NM Inc,NY,Healthcare Provider,42617,10/24/2022,Hacking/IT Incident,Network Server,No
Resource Anesthesiology Associates Of KY PSC,NY,Healthcare Provider,8980,10/24/2022,Hacking/IT Incident,Network Server,No
Resource Anesthesiology Associates of CT PC,NY,Healthcare Provider,5240,10/24/2022,Hacking/IT Incident,Network Server,No
Resource Anesthesiology Associates of VA LLC,NY,Healthcare Provider,4209,10/24/2022,Hacking/IT Incident,Network Server,No
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,10/24/2022,Hacking/IT Incident,Network Server,No
Saddlebrook Anesthesia Services PC,NJ,Healthcare Provider,9596,10/24/2022,Hacking/IT Incident,Network Server,No
Resource Anesthesiology Associates of IN LLC,NY,Healthcare Provider,2317,10/24/2022,Hacking/IT Incident,Network Server,No
Primary Anesthesia Services,NY,Healthcare Provider,30952,10/24/2022,Hacking/IT Incident,Network Server,No
Mid-Westchester Anesthesia Services PC,NY,Healthcare Provider,871,10/24/2022,Hacking/IT Incident,Network Server,No
Regions Hospital,MN,Healthcare Provider,31094,10/24/2022,Hacking/IT Incident,Network Server,No
Massengale Eye Care,OK,Healthcare Provider,15000,10/21/2022,Hacking/IT Incident,Network Server,Yes
"FOREFRONT DERMATOLOGY, SC",WI,Healthcare Provider,45580,10/20/2022,Theft,Other Portable Electronic Device,Yes
Fontainebleau Development Health and Welfare Plan,FL,Health Plan,1825,10/20/2022,Hacking/IT Incident,Network Server,No
"Delaware Department of Health and Social Services, Division of Developmental Disabilities Services",DE,Healthcare Provider,7000,10/20/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
Lifeline Systems Company,MA,Healthcare Provider,72848,10/16/2022,Hacking/IT Incident,Network Server,No
Tift Regional Health System,GA,Healthcare Provider,180142,10/14/2022,Hacking/IT Incident,Network Server,No
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,10/14/2022,Theft,Laptop,No
Presbyterian Healthcare Services,NM,Healthcare Provider,44450,10/14/2022,Hacking/IT Incident,Email,No
Advocate Aurora Health,WI,Healthcare Provider,3000000,10/14/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Casco Bay EyeCare, PA, LLC",ME,Healthcare Provider,1432,10/14/2022,Loss,Other Portable Electronic Device,No
Choice Health Insurance LLC,SC,Business Associate,32064,10/11/2022,Hacking/IT Incident,Network Server,Yes
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,10/10/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"Seredor Centers, Inc.",FL,Healthcare Provider,12656,10/08/2022,Hacking/IT Incident,Network Server,No
"Thomas J. Hubbard, MD, Inc. DBA Hubbard Plastic Surgery & Skin Enhancement Center",VA,Healthcare Provider,914,10/07/2022,Unauthorized Access/Disclosure,Network Server,No
CareOregon,OR,Health Plan,8022,10/05/2022,Unauthorized Access/Disclosure,Paper/Films,No
Salud Family Health,CO,Healthcare Provider,427546,10/05/2022,Hacking/IT Incident,Network Server,No
Delta Dental of Washington,WA,Health Plan,6361,09/30/2022,Hacking/IT Incident,Network Server,Yes
"Optum Medical Care of New Jersey, P.C.",NJ,Healthcare Provider,12499,09/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Trillium Health Inc.,NY,Healthcare Provider,3191,09/30/2022,Hacking/IT Incident,Email,No
Zomo Health,TX,Business Associate,1359,09/30/2022,Unauthorized Access/Disclosure,Network Server,Yes
Molina Healthcare,CA,Health Plan,1068,09/26/2022,Hacking/IT Incident,Network Server,Yes
