Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
University of Utah,UT,Health Plan,3914,08/15/2023,Hacking/IT Incident,Network Server,Yes
"Monocacy Valley Dental Brian K. Motz, DDS, PC",MD,Healthcare Provider,4000,08/15/2023,Theft,Laptop,No
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487,08/14/2023,Hacking/IT Incident,Network Server,No
TRACT Radiology,MS,Business Associate,7810,08/14/2023,Hacking/IT Incident,Network Server,Yes
VNS Health Plans,NY,Health Plan,103775,08/14/2023,Hacking/IT Incident,Network Server,Yes
"American National Group, LLC",TX,Health Plan,47711,08/11/2023,Hacking/IT Incident,Network Server,No
Colorado Department of Health Care Policy & Financing,CO,Health Plan,4091794,08/11/2023,Hacking/IT Incident,Network Server,Yes
Three Crowns Park,IL,Healthcare Provider,516,08/11/2023,Hacking/IT Incident,Email,No
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,350000,08/11/2023,Hacking/IT Incident,Network Server,No
EMS Management and Consultants Inc,NC,Business Associate,223598,08/10/2023,Hacking/IT Incident,Network Server,Yes
Coastal Orthopedics & Sports Medicine of Southwest Florida,FL,Healthcare Provider,501,08/10/2023,Hacking/IT Incident,Network Server,No
iTrust Wellness Group,SC,Healthcare Provider,981,08/10/2023,Hacking/IT Incident,Email,No
Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees,IN,Business Associate,5330,08/10/2023,Hacking/IT Incident,Network Server,Yes
Virginia Dept. of Medical Assistance Services,VA,Health Plan,423824,08/09/2023,Hacking/IT Incident,Network Server,Yes
Sovos Compliance LLC,MA,Business Associate,18261,08/08/2023,Hacking/IT Incident,Network Server,Yes
Lurie Children’s Surgical Foundation,IL,Healthcare Provider,1997,08/08/2023,Hacking/IT Incident,Network Server,Yes
Harris Eye Care,MI,Healthcare Provider,6267,08/08/2023,Hacking/IT Incident,Network Server,No
Premera Blue Cross,WA,Health Plan,33212,08/08/2023,Hacking/IT Incident,Network Server,Yes
Spinal and Sports Care Clinic PS,WA,Healthcare Provider,1100,08/08/2023,Hacking/IT Incident,Network Server,No
